Shop Country	Group	Usage Time Type	Uninstall Reason Categories	Latest Shopify Plan Known to Findter	Usage Time	Shop Domain	Shop Email	Shop Name	Latest Active Product Count Known to Findter	First Install Date	Uninstalled Date	Uninstall Reason	Note
AU	Mới	Under 1 Day	Testing multiple apps	Advanced	3h 30m	2cd839-4.myshopify.com	webmaster@ballmason.com.au	Ball Mason Australia		10-08-26 17:27	2026-08-10 20:58	Testing multiple apps	
GB	Cũ	Under 3 Months	Testing multiple apps	Grow	76d 18h 20m	5vh0rn-1v.myshopify.com	hello@ssd247.co.uk	SSD247		26-05-26 0:11	2026-08-10 18:32	Testing multiple apps	
GT	Mới	Under 1 hour	Testing multiple apps		3m	cxwjih-1g.myshopify.com	hola@grupomodara.com	Modara		10-08-26 1:23	2026-08-10 1:27	Probando varias apps	
US	Mới	Under 1 hour	Testing multiple apps		3m	pyqw1v-jf.myshopify.com	papswoodcrafts@gmail.com	Paps Wood Crafts		09-08-26 22:49	2026-08-09 22:53	Testing multiple apps	
IN	Cũ	Under 3 Months	Testing multiple apps	Basic	84d 3h 49m	qk1gnr-4v.myshopify.com	reynaajewels@gmail.com	Reynaa		17-05-26 15:49	2026-08-09 19:39	Testing multiple apps	
IN	Cũ	Under 1 Year	Testing multiple apps	Basic	193d 21h 35m	n9padz-sb.myshopify.com	kashisilk6@gmail.com	tvisa		26-01-26 17:03	2026-08-08 14:39	Testing multiple apps	
IN	Cũ	Under 3 Months	Testing multiple apps	Grow	34d 16h 33m	9shine.myshopify.com	9shine.store@gmail.com	9shines label		04-07-26 18:53	2026-08-08 11:27	Testing multiple apps	
US	Mới	Under 1 hour	Testing multiple apps		6m	landhelmets-com.myshopify.com	info@landhelmets.com	landhelmets.com		08-08-26 3:55	2026-08-08 4:02	Testing multiple apps	
US	Mới	Under 1 hour	Testing multiple apps		7m	laneboots.myshopify.com	customerservice@laneboots.com	Lane Boots		08-08-26 2:35	2026-08-08 2:43	Testing multiple apps	
US	Mới	Under 1 hour	Testing multiple apps		24m	qvqect-u6.myshopify.com	sjsportsjerseys@gmail.com	SJ SPORTS JERSEYS		07-08-26 13:55	2026-08-07 14:20	Testing multiple apps	
DZ	Cũ	Under 3 Months	Testing multiple apps	Basic	32d 1h 55m	medavenuedz.myshopify.com	medavenue.dz@gmail.com	Medavenue Algérie		06-07-26 5:47	2026-08-07 7:43	Test de plusieurs applis	
IN	Mới	Under 1 hour	Testing multiple apps		2m	f0wzs1-ah.myshopify.com	miswah26@gmail.com	Miswah		07-08-26 4:48	2026-08-07 4:51	Testing multiple apps	
DE	Mới	Under 1 hour	Testing multiple apps		1m	e17dz4-f3.myshopify.com	hey@romyundjulius.de	romy & julius		07-08-26 3:07	2026-08-07 3:09	Testen mehrerer Apps	
US	Mới	Under 1 Day	Testing multiple apps	Grow	21h 5m	ppkxd7-ud.myshopify.com	info@thrixine.com	THRIXINE		06-08-26 4:12	2026-08-07 1:18	Testing multiple apps	"Install + Embeded xong thì ko tương thích theme, có click về homepage để contact (nhắn lúc 4h sáng), chưa ai hỗ trợ hay reply luôn thời điểm đó
						- Khách uninstall							
						- 9h sáng mình reply khách gửi collab code đi							
						- 6h tối install lại app (Chuea reply yêu cầu gửi collab code của mình)							
						- Vài tiếng sau uninstall "							
US	Mới	Under 1 hour	Testing multiple apps		0m	qixrr1-1d.myshopify.com	info@rsrdesigns.com	Rsrdesigns		06-08-26 22:57	2026-08-06 22:58	Testing multiple apps; done	
US	Cũ	Under 3 Months	Testing multiple apps	Grow	74d 13h 48m	2m4bht-sx.myshopify.com	munifajaafar@gmail.com	Home Power Tech		24-05-26 9:05	2026-08-06 22:54	Testing multiple apps	
DE	Mới	Under 1 hour	Testing multiple apps		5m	600fea-2.myshopify.com	shop@koffer-plus.com	KOFFER-PLUS.COM		06-08-26 17:47	2026-08-06 17:53	Testen mehrerer Apps	
IN	Mới	Under 1 Day	Testing multiple apps	Grow	17h 9m	8fvtxt-0y.myshopify.com	marketing@goodwysh.com	Goodwysh		05-08-26 23:35	2026-08-06 16:45	Testing multiple apps	
NP	Cũ	Under 3 Months	Testing multiple apps	Paused	37d 1h 41m	ctkpnj-6a.myshopify.com	adarshakirana@gmail.com	Aubi.Store		30-06-26 11:59	2026-08-06 13:41	Testing multiple apps	
CO	Mới	Under 1 hour	Testing multiple apps	Grow	8m	info-5720.myshopify.com	customer@bahiamaria.com	Bahia Maria Swimwear		06-08-26 9:26	2026-08-06 9:35	Probando varias apps	
US	Cũ	Under 6 Months	Testing multiple apps	Basic	155d 17h 5m	7fcf03-31.myshopify.com	Handitches@gmail.com	Bag Lady from Philadelphia		03-03-26 11:35	2026-08-06 4:41	Testing multiple apps	
DE	Mới	Under 1 Week	Testing multiple apps	Grow	6d 14m	ck0jw3-x1.myshopify.com	m.schaumburg@5x-machines.de	5X Parts		30-07-26 17:55	2026-08-05 18:10	Testen mehrerer Apps	
CA	Cũ	Under 6 Months	Testing multiple apps	Basic	141d 1h 45m	theantiquerugs.myshopify.com	thetapestryofrugs@gmail.com	Tapestry of Rugs		17-03-26 13:01	2026-08-05 14:47	Testing multiple apps	
IN	Cũ	Under 1 Year	Testing multiple apps	Basic	230d 23h 4m	1cc8de-r4.myshopify.com	madaan.paras786@gmail.com	Amoha Decor		17-12-25 14:19	2026-08-05 13:24	Testing multiple apps	
US	Mới	Under 1 Week	Testing multiple apps	Basic	2d 1h 58m	montimaworks.myshopify.com	carlos@montima.co	Montima		02-08-26 23:37	2026-08-05 1:36	Testing multiple apps	
IT	Cũ	Under 3 Months	Testing multiple apps	Basic-inactive	90d 20h 16m	femiro-shop.myshopify.com	info@femiro.it	FEMIRO		05-05-26 19:56	2026-08-04 16:13	Test di più app	
EG	Cũ	Under 1 Month	Testing multiple apps	Basic	20d 6h 9m	iiatb0-s3.myshopify.com	amr.sportline@gmail.com	Sportline		15-07-26 1:08	2026-08-04 7:18	Testing multiple apps	
HN	Cũ	Under 1 Month	Testing multiple apps	Basic	16d 16h 16m	bys-store-3120256-171465.myshopify.com	luisbautista551@gmail.com	DeskNova		18-07-26 9:11	2026-08-04 1:28	Probando varias apps	
DE	Cũ	Under 3 Months	Testing multiple apps	Grow	42d 4h 22m	cbifxv-uq.myshopify.com	admin-shopify@magixx.art	Magixx Art		22-06-26 19:56	2026-08-04 0:19	Testing multiple apps	
SG	Mới	Under 1 Day	Testing multiple apps	Basic	1h 19m	loveholic-5356.myshopify.com	hello@loveholic.sg	loveholic		03-08-26 10:03	2026-08-03 11:23	Testing multiple apps	"Install, embeded, phát hiện chưa tương thích, đã contact chat, chat đã support để tương thích, nhưng khách ko thích product grid có sẵn của app, ko similar giống của khách
						=> Khách uninstall"							
CN	Cũ	Under 6 Months	Testing multiple apps	Basic-inactive	152d 1h 39m	jdzgwz-3p.myshopify.com	info@goalkitstore.com	The GoalKit Club		03-03-26 20:20	2026-08-02 22:00	测试多个应用	
HR	Mới	Under 1 hour	Testing multiple apps		15m	ta32vn-ee.myshopify.com	pospesevanje@planta-prelesje.si	Poljovrt d.o.o.		02-08-26 20:34	2026-08-02 20:50	Preizkušanje več aplikacij	
QA	Mới	Under 1 hour	Testing multiple apps		7m	z5irsn-gk.myshopify.com	abbasmastoreqatar@gmail.com	Abbasma Store		02-08-26 18:55	2026-08-02 19:03	Testing multiple apps	
IN	Mới	Under 1 hour	Testing multiple apps	Basic	13m	dc0xts-2c.myshopify.com	taraya.company@gmail.com	My Store		02-08-26 17:18	2026-08-02 17:32	Testing multiple apps	
GB	Cũ	Under 1 Year	Testing multiple apps	Basic-inactive	186d 21h 3m	ccc3cf-2.myshopify.com	kevin@functionaldrinksclub.co.uk	Functional Drinks Club		27-01-26 2:53	2026-08-01 23:57	Testing multiple apps	
NZ	Mới	Under 1 Day	Testing multiple apps	Development	1h 39m	alfa-pizza-ovens.myshopify.com	wayneknights70@gmail.com	Alfa Pizza Ovens		01-08-26 15:10	2026-08-01 16:50	Testing multiple apps	"INstall , embed, lỗi tương thihcs, có contact support, đã xin collab code để mình fix, nhưng mình ko fix luôn
						(CSE báo đã ngoài giờ làm việc, sẽ contact support lại sau -> Khách ko đợi được nên uninstall (khách ở đây là dev đang test app cho chủ) )"							
NL	Mới	Under 1 hour	Testing multiple apps		8m	bys-store-3207807-173524.myshopify.com	contact@aceblast.store	ACE BLAST		01-08-26 9:13	2026-08-01 9:22	Testing multiple apps	
IN	Mới	Under 1 hour	Testing multiple apps		4m	0ixk1q-pi.myshopify.com	baisoorganicsecom@gmail.com	Baiso Organic		01-08-26 0:56	2026-08-01 1:01	Testing multiple apps	
HK	Mới	Under 1 hour	Testing multiple apps		9m	songmont.myshopify.com	info@songmont.cn	Songmont		31-07-26 16:46	2026-07-31 16:56	Testing multiple apps	
IN	Mới	Under 1 hour	Testing multiple apps		5m	dz11w1-qf.myshopify.com	luxzraclothing@gmail.com	Luxzra		31-07-26 14:16	2026-07-31 14:22	Testing multiple apps	
IN	Cũ	Under 3 Months	Testing multiple apps	Basic-inactive	71d 19h 12m	b529c3-fb.myshopify.com	woof@tiltingheads.com	Tilting Heads		20-05-26 17:51	2026-07-31 13:04	Testing multiple apps	
PK	Mới	Under 1 hour	Testing multiple apps	Grow	23m	pfqwsd-aa.myshopify.com	unklestore@gmail.com	My Store		30-07-26 18:27	2026-07-30 18:51	Testing multiple apps	
ES	Mới	Under 1 Day	Testing multiple apps	Grow	1h 53m	store-ucam.myshopify.com	soporte@store.ucam.edu	UCAM Store		30-07-26 14:14	2026-07-30 16:08	Probando varias apps	"khách check ko thấy theme trong list support, có contact lại với mình
						10p sau mình mới nhắn khách							
						Khách uninstall"							
US	Mới	Under 1 hour	Testing multiple apps		7m	the-webster-replatform.myshopify.com	pablo.moreno@thewebster.com	The Webster		30-07-26 3:05	2026-07-30 3:13	Testing multiple apps	
BR	Mới	Under 1 hour	Testing multiple apps		9m	a352b6-0e.myshopify.com	streetlifestore02@gmail.com	Street Life		30-07-26 1:15	2026-07-30 1:25	Testando vários apps	
FR	Mới	Under 1 Week	Testing multiple apps	Grow	1d 6h 33m	ksy6x6-d3.myshopify.com	contact@thehareandthecrow.com	The Hare & The Crow Studio		28-07-26 15:38	2026-07-29 22:12	Testing multiple apps	
GB	Mới	Under 1 hour	Testing multiple apps	Grow	24m	5c58e2.myshopify.com	marketing@packagingsource.co.uk	Packaging Wise		29-07-26 16:24	2026-07-29 16:49	Testing multiple apps	
CN	Cũ	Under 1 Year	Testing multiple apps	Basic	301d 10h 29m	gandhanra-art.myshopify.com	service@gandhanra.art	Gandhanra-ART		30-09-25 22:31	2026-07-29 9:01	测试多个应用	
US	Cũ	Under 6 Months	Testing multiple apps	Basic-inactive	159d 22h 52m	5vxz0y-zk.myshopify.com	ginacool94@gmail.com	Gina Collection		19-02-26 3:33	2026-07-29 2:26	Testing multiple apps	
HK	Mới	Under 1 hour	Testing multiple apps		2m	jjeznh-cw.myshopify.com	info@rvlithtime.com	RVLithTime		28-07-26 16:06	2026-07-28 16:09	测试多个应用	
US	Cũ	Under 1 Month	Testing multiple apps	Development	8d 14h 9m	boujoux-2.myshopify.com	kelli@crockettasindavy.com	Boujoux		19-07-26 22:51	2026-07-28 13:01	Testing multiple apps	
US	Cũ	Under 3 Months	Testing multiple apps	Basic	60d 1h 27m	midwestgrowco.myshopify.com	bob@midwestgrowco.com	Midwest Grow LLC		28-05-26 22:00	2026-07-27 23:28	Testing multiple apps	
AT	Cũ	Under 1 Month	Testing multiple apps	Basic	13d 16h 35m	pumpenkost.myshopify.com	hello@romedia-design.at	Pumpenkost		14-07-26 2:01	2026-07-27 18:37	Testen mehrerer Apps	
US	Mới	Under 1 hour	Testing multiple apps		0m	mygradday.myshopify.com	mygradday@gmail.com	MyGradDay		27-07-26 15:53	2026-07-27 15:53	测试多个应用	
NL	Mới	Under 1 hour	Testing multiple apps		26m	iai03e-ij.myshopify.com	bobbertstore@gmail.com	ViVa Parts		27-07-26 0:49	2026-07-27 1:16	Meerdere apps testen	
TR	Mới	Under 1 hour	Testing multiple apps		6m	t9dr0s-s8.myshopify.com	siparis@riccon.com.tr	Riccon		27-07-26 0:37	2026-07-27 0:44	Birden fazla uygulama test ediliyor	
NL	Mới	Under 1 Day	Testing multiple apps	Basic	2h 8m	nz3hyb-yb.myshopify.com	admin@jfdesign.nl	Sfeer & Geur		26-07-26 20:04	2026-07-26 22:13	Meerdere apps testen	"Khách nhắn hỏi về feature, có add được YMM ra ngoài homepage được ko. Agent auto chat lúc 10h tối bảo khách contact lại.
						-> Khách uninstall ngay sau 5p vì ko đc support hay chat ngay lúc đó"							
MX	Mới	Under 1 hour	Testing multiple apps		6m	n1vb1h-s4.myshopify.com	libros@tornagris.com	Torna Gris - Artista Mexicano		26-07-26 21:51	2026-07-26 21:58	Probando varias apps	
CR	Mới	Under 1 Week	Testing multiple apps		2d 47m	mn4ma3-86.myshopify.com	8alegacysuplementos@gmail.com	8A LEGACY		24-07-26 2:35	2026-07-26 3:23	Probando varias apps	
US	Mới	Under 1 Day	Testing multiple apps		2h 6m	eydf0n-96.myshopify.com	orders@furvillepetsupplies.com	Furville Pet Supplies		25-07-26 4:42	2026-07-25 6:49	Testing multiple apps	
NO	Mới	Under 1 Day	Testing multiple apps	Basic	1h 57m	wqgjf1-hw.myshopify.com	shopifykingkong73@gmail.com	King Kong Company AS		24-07-26 20:43	2026-07-24 22:41	Testing multiple apps	
CN	Mới	Under 1 hour	Testing multiple apps		24m	fadtattoos.myshopify.com	gpi_product@glampressink.com	GlamPressInk		24-07-26 8:42	2026-07-24 9:06	测试多个应用	
US	Cũ	Under 1 Month	Testing multiple apps	Basic	28d 7h 46m	srupya-zd.myshopify.com	customerservice@ezember.com	EZ Ember		25-06-26 22:43	2026-07-24 6:30	Testing multiple apps	
US	Mới	Under 1 hour	Testing multiple apps		0m	barrys-power-equipment1.myshopify.com	barrys@barryspowerequipment.com	Barry's Power Equipment		24-07-26 2:56	2026-07-24 2:57	Testing multiple apps	
BG	Cũ	Under 3 Months	Testing multiple apps	Grow	40d 19h 44m	2d64d7.myshopify.com	support@dirtytoyz.com	DirtyToyz		13-06-26 1:25	2026-07-23 21:10	Testing multiple apps	
HU	Cũ	Under 1 Month	Testing multiple apps	Basic	19d 22h 8m	1kcwze-vx.myshopify.com	info@yaraparfum.hu	YARA Illatbazár		03-07-26 18:00	2026-07-23 16:09	Testing multiple apps	
US	Mới	Under 1 Week	Testing multiple apps	Grow	1d 4h 30m	tigerkingsafes.myshopify.com	service@tigerkingsafe.com	TIGERKING SAFE		22-07-26 10:46	2026-07-23 15:17	Testing multiple apps	
AU	Cũ	Under 1 Month	Testing multiple apps	Grow	7d 18h 37m	qfki2r-41.myshopify.com	sales@tcifasteners.com.au	ebolts		15-07-26 15:35	2026-07-23 10:13	Testing multiple apps	
CA	Cũ	Under 1 Month	Testing multiple apps	Plus	16d 4h 29m	b9szf5-ub.myshopify.com	swan@nrupro.com	NRU Beauty		07-07-26 0:33	2026-07-23 5:03	Testing multiple apps	
ES	Mới	Under 1 Day	Testing multiple apps	Basic	6h 54m	h2zm3b-f0.myshopify.com	info@sportshub.es	SportsHub		22-07-26 21:10	2026-07-23 4:05	Probando varias apps	
NO	Cũ	Under 1 Week	Testing multiple apps	Basic	5d 5h 13m	1hs53t-ew.myshopify.com	mikael@brodern.no	Ventilasjonsgrossisten		17-07-26 18:42	2026-07-22 23:56	Tester flere apper	
AU	Cũ	Under 1 Month	Testing multiple apps	Basic	17d 17h 58m	get-lucky-clothing.myshopify.com	getluckyclothing@yahoo.com	Get Lucky		04-07-26 14:15	2026-07-22 8:14	Testing multiple apps	
EG	Mới	Under 1 hour	Testing multiple apps		0m	tjbtzy-9w.myshopify.com	veegyy0@gmail.com	VE.EGY		22-07-26 6:07	2026-07-22 6:08	Testing multiple apps	
US	Mới	Under 1 hour	Testing multiple apps		4m	altamont-apparel.myshopify.com	rich.wilson@soletechnology.com	Altamont Apparel		22-07-26 3:48	2026-07-22 3:53	Testing multiple apps	
SE	Mới	Under 1 Week	Testing multiple apps	Grow	1d 17h 11m	cvhk19-p0.myshopify.com	order@mintarta.se	Mintårta		20-07-26 6:28	2026-07-21 23:40	Testar flera appar	
US	Cũ	Under 3 Months	Testing multiple apps		32d 20h 16m	tdh10h-az.myshopify.com	marketing@discountdirectfurniture.com	Discount Direct Furniture | Mattresses		14-07-26 5:01	16-08-26 1:17	Testing multiple apps	
DE	Cũ	Under 6 Months	Testing multiple apps		139d 7h	njkruu-0t.myshopify.com	admin@elysee-diamonds.com	Elysee-Diamonds		29-03-26 21:27	16-08-26 4:27	Testen mehrerer Apps	
NL	Mới	Under 1 hour	Testing multiple apps		12m	dhy5wp-hc.myshopify.com	Contact@laadcentrum.com	Laad Centrum		17-08-26 4:11	17-08-26 4:23	Meerdere apps testen	
US	Mới	Under 1 Day	Testing multiple apps		23h 31m	ayjaythelabel.myshopify.com	shop@ayjaythelabel.com	AYJAY		17-08-26 6:38	18-08-26 6:09	Testing multiple apps	
CA	Mới	Under 1 hour	Testing multiple apps		8m	dev-catalangourmet.myshopify.com	info@rootways.com	Dev Catalangourmet		17-08-26 11:55	17-08-26 12:03	Testing multiple apps	
KW	Mới	Under 1 hour	App Not Working / Compatibility Issue		3m	x0nh11-pm.myshopify.com	fremontjadeed@gmail.com	Fremont Al-Jadeed		17-08-26 19:37	17-08-26 19:40	Not working properly with store	
FR	Mới	Under 1 hour	Other – Unclear		16m	8tkbc3-ht.myshopify.com	thevaultseekers.tcg@gmail.com	The Vault Seekers		17-08-26 23:11	17-08-26 23:27	Autre (veuillez prĂ©ciser); Je n'arrive pas Ă le faire fonctionner	
PT	Cũ	Under 3 Months	Testing multiple apps		48d 5h 35m	a3df12-7c.myshopify.com	daniel27022006@gmail.com	Iniop		01-07-26 0:19	18-08-26 5:54	A testar vĂ¡rias apps	
TK	Mới	Under 1 hour	Testing multiple apps		23m	milagron.myshopify.com	milagron.myshopify.com	Türkiye		15-08-26 03:49	15-08-26 04:12	Testing multiple apps	"Khách embeded xong -> Banner báo vượt limit product
						Khách mua growth							
						Khách uninstall app							
						(Gói sub bị hủy)							
						Khách install lại app (Thấy ghi Plan: Trial)							
						Khách uninstall sau 2p tải lại"							
